ลำดับที่,ชื่อย่านชุมชนเก่า,ตำบล,อำเภอ,จังหวัด,ภาค,East,North,ลักษณะสำคัญ
135,ชุมชนสถานีรถไฟศรีนคร/บ้านปลายราง,ศรีนคร,ศรีนคร,สุโขทัย,กลาง,604623.0219,1918509.933,ชุมชนสถานีรถไฟศรีนคร/บ้านปลายราง เป็นชุมชนโดยรอบทางรถไฟ ชุมชนริมน้ำ และชุมชนตลาด ลักษณะภูมิประเทศ เป็นชุมชนพาณิชยกรรมระดับอำเภอ โดยตั้งอยู่ระหว่างแม่น้ำน่านทางทิศตะวันตกและสถานีรถไฟคลองมะพลับในด้านทิศใต้ ประกอบด้วยกลุ่มอาคารพาณิชยกรรมที่เป็นเรือนแถวไม้ 2 ชั้น มีลักษณะกายภาพที่สมบูรณ์ กระจายตัวอยู่ในแนวขนานกันระหว่างแม่น้ำน่านและสถานีรถไฟคลองมะพลับ ชุมชนบ้านปลายรางเป็นชุมชนพาณิชยกรรม ที่รวมสินค้าหลากหลายประเภท ได้แก่ ร้านค้าปลีก ร้านขายทอง ตลาดสด เป็นต้น แต่ปัจจุบันได้มีการทิ้งร้างพื้นที่พาณิชยกรรมจำนวนมาก เนื่องจากเศรษฐกิจซบเซาจากการย้ายออกของประชาชน
136,บ้านด่านลานหอย,ลานหอย,บ้านด่านลานหอย,สุโขทัย,กลาง,561105.8361,1879247.846,"บ้านด่านลานหอย เป็นชุมชนเกษตรกรรม และชุมชนความทรงจำ คนกลุ่มแรกที่มาก่อตั้งหมู่บ้าน เป็นคนดั้งเดิมมาตั้งแต่สมัยโบราณซึ่งอาศัยอยู่ที่บ้านลานหอยและบ้านเชิงคีรี ชื่อเดิมของชุมชนนี้ชื่อ ""บ้านด่าน"" กับ ""บ้านลานหอย"" เมื่อมีการแบ่งพื้นที่อำเภอเมืองสุโขทัยตั้งเป็นกิ่งอำเภอ จึงนำเอาชื่อหมู่บ้านเก่าแก่ที่สุดมารวมกันเป็นชื่ออำเภอ จึงได้กลายไปเป็น ""บ้านด่านลานหอย"" ลักษณะภูมิประเทศเป็นพื้นที่ราบ อยู่ทางทิศตะวันตกของอุทยานแห่งชาติรามคำแหง มีแนวเขาขนาดเล็กผ่ากลางตำบลในแนวเหนือ-ใต้ พื้นที่ส่วนใหญ่เป็นพื้นที่เกษตร ทำนา ไร่ สวน พื้นที่เขามีสภาพตามธรรมชาติ โดยทั่วไปมีลักษณะสถาปัตยกรรมเป็นบ้านไม้สองชั้นทรงจั่ว รายรอบด้วยบริเวณซึ่งเป็นสวนครัวและอาหารตามแบบฉบับของวิถีเกษตร โดยทั่วไปประกอบอาชีพทำนา และทำไร่"
137,บ้านทุ่งหลวง,ทุ่งหลวง,คีรีมาศ,สุโขทัย,กลาง,584912.3433,1865973.833,"บ้านทุ่งหลวง เป็นชุมชนเกษตรกรรม และชุมชนกลุ่มอาชีพเฉพาะ ตั้งอยู่ทางใต้สุดของจังหวัดสุโขทัย เป็นพื้นที่ราบ มีอุทยานแห่งชาติรามคำแหงอยู่ในซีกทิศตะวันตกของอำเภอ นอกนั้นที่เหลือทั้งหมด ประมาณร้อยละ 75 เป็นพื้นที่เกษตรกรรม มีพื้นที่เก็บน้ำขนาดใหญ่ ชื่อว่า ""คลองข้างใน"" อยู่กลางอำเภอข้างพื้นที่อุทยาน มีลักษณะเป็นเรือนเดี่ยวไม้ แทรกตัวอยู่ตามพื้นที่เกษตรกรรม มีเครื่องปั้นดินเผาที่มีชื่อเสียง เป็นส่วนหนึ่งของแหล่งอารยธรรมสังคโลกอันเลื่องชื่อของสุโขทัย พื้นที่ส่วนใหญ่เป็นหมู่บ้านเกษตรดั้งเดิม วิถีชีวิตแบบเดิม"
138,ศรีสัชนาลัย,ศรีสัชนาลัย,ศรีสัชนาลัย,สุโขทัย,กลาง,586300.0908,1927298.539,ศรีสัชนาลัย เป็นชุมชนเกษตรกรรม ชุมชนริมน้ำ และชุมชนกลุ่มอาชีพเฉพาะ ไม่ทราบที่มาการก่อตั้งที่แน่ชัด แต่มีลักษณะเป็นชุมชนที่อยู่รอบโบราณสถานร้าง โดยส่วนใหญ่ประกอบอาชีพเกษตรกรรม ตั้งอยู่ทางตอนเหนือของจังหวัดสุโขทัย มีลักษณะเป็นที่ราบบริเวณแม่น้ำยม มีลักษณะเป็นเรือนไม้เกาะกลุ่มกันเป็นหมู่บ้าน ตามลักษณะของหมู่บ้านเกษตรกรรมแบบดั้งเดิม โดยรอบโบราณสถานและเมืองเก่า ในสมัยก่อนชุมชนประกอบอาชีพเกษตรกรรม เนื่องจากอยู่ในบริเวณเมืองเก่า และในเขตใกล้กับอุทยานประวัติศาสตร์ศรีสัชนาลัย ทำให้บางส่วนเปลี่ยนไปประกอบอาชีพค้าขาย และธุรกิจท่องเที่ยวมากขึ้น
139,บ้านหาดเสี้ยว,หาดเสี้ยว,ศรีสัชนาลัย,สุโขทัย,กลาง,582240.6669,1938938.411,บ้านหาดเสี้ยว เป็นชุมชนเกษตรกรรม ชุมชนกลุ่มอาชีพเฉพาะ และชุมชนชาติพันธุ์ของกลุ่มลาวพวน เป็นชุมชนหมู่บ้านตั้งอยู่บนถนนสาย 101 มีลักษณะเป็นกลุ่มบ้านความหนาแน่นไม่มาก รูปแบบอาคารเป็นหมู่บ้านลาวพวน ในลักษณะบ้านไม้สองชั้น มีลานบ้านอยู่โดยรอบ ใต้ถุนบ้านเป็นพื้นที่วางกี่ทอผ้า ซึ่งสะท้อนให้เห็นลักษณะความสัมพันธ์ของอาชีพและการใช้ที่ว่าง เป็นหมู่บ้านเกษตรกรรม มีอาชีพและฐานทางวัฒนธรรมที่เลี่องชื่อได้แก่ การทอผ้า โดยเฉพาะผ้าตีนจกบ้านหาดเสี้ยว ซึ่งเป็นงานหัตถกรรมทอผ้าพื้นที่สำคัญและโดดเด่นที่หนึ่งของประเทศ
140,ชุมชนบ้านคุ้งตะเภา,คุ้งตะเภา,เมืองอุตรดิตถ์,อุตรดิตถ์,เหนือ,620971.8721,1952466.366,ชุมชนบ้านคุ้งตะเภา เป็นชุมชนเกษตรกรรม ชุมชนริมน้ำ และชุมชนความทรงจำ เป็นพื้นที่ซึ่งอยู่ริมน้ำ เป็นพื้นที่ลาดน้อย ใช้ทำการเกษตร ริมน้ำมีกิจกรรมที่เกี่ยวกับการเพาะปลูก ได้แก่ สวนผัก และสวนผลไม้ โดยมีกลุ่มที่อยู่อาศัยห่างออกมาเป็นลักษณะที่ราบสูง เหมาะกับการตั้งบ้านเรือน เนื่องจากพื้นที่ริมน้ำประสบปัญหาน้ำท่วมซ้ำซากุ กลุ่มอาคารเรือนไทยภาคกลางโบราณที่ยังคงคุณสมบัติการใช้วัสดุเดิมที่มีการดูแลรักษาอยู่ในสภาพดี ได้แก่ กระเบื้องหลังคาว่าว ผนัง และเสาไม้ ที่ยังปรากฏฝีมือช่างสมัยก่อน โดยพบว่าบ้านเหล่านี้กระจายตลอดริมน้ำเจ้าพระยาควบคู่กับภูมิทัศน์ที่มีการใช้สอยเพื่อการเกษตรและเป็นพื้นที่รับน้ำ (Watershed) ในฤดูน้ำหลาก เป็นย่านชุมชนเก่าที่ใช้ประโยชน์เพื่อการพักอาศัยมายาวนาน ผู้อาศัยในรุ่นปัจจุบัน และลูกหลานคนในชุมชน ปัจจุบันทำอาชีพนอกภาคเกษตร อาทิ รับราชการ ค้าขาย พนักงานบริษัท
141,พระฝางสว่างบุรีมุณีนาถ,ผาจุก,เมืองอุตรดิตถ์,อุตรดิตถ์,เหนือ,630270.5983,1950516.259,พระฝางสว่างบุรีมุณีนาถ เป็นชุมชนเกษตรกรรม ชุมชนความทรงจำ และชุมชนโดยรอบโบราณสถาน เมืองฝางเป็นเมืองหน้าด่านให้สุโขทัย เคยเป็นชุมนุมที่สำคัญและมีประวัติศาสตร์ต่อเนื่อง ยุคต้นของอาณาจักรธนบุรี เป็นชุมชนที่ตั้งอยู่ขนานไปตามแม่น้ำน่านในแนวตะวันออก-ตะวันตก สภาพพื้นที่เป็นที่ราบลุ่มริมแม่น้ำ ชุมชนที่อาศัยอยู่โดยรอบวัดพระฝางสว่างบุรีมุณีนาท เป็นโบราณสถานสำคัญคู่เมืองอุตรดิตถ์ บ้านเรือนที่อยู่โดยรอบเป็นบ้านไม้สองชั้น มีระเบียงด้านหน้า ภายในบริเวณรอบอาคารมีสวนครัว มีฐานเศรษฐกิจด้านการเกษตรโดยรอบโบราณสถานที่สำคัญ
142,บ้านท่าเสา,ท่าเสา,เมืองอุตรดิตถ์,อุตรดิตถ์,เหนือ,618758.3097,1951367.869,บ้านท่าเสา เป็นชุมชนเกษตรกรรม ชุมชนริมน้ำ และชุมชนโดยรอบทางรถไฟ เป็นชุมชนที่ทอดตัวขนานทางรถไฟในทิศตะวันออก-ตก และขนานกับแม่น้ำน่านทางทิศเหนือ โดยเจริญขึ้นมาจากการเป็นชุมทางการค้าขายระหว่างพื้นที่ภาคเหนือและภาคกลางในอดีต จากลักษณะทางภูมิศาสตร์ที่มีเส้นทางคมนาคมได้หลากหลายเช่นนี้ ทำให้ชุมชนท่าเสาเกิดเป็นเมืองที่เจิรญเติบโตขึ้นตามลำดับกายภาพสำคัญ ชุมชนท่าเสาประกอบด้วยกลุ่มอาคารแถวไม้สูงสองชั้นที่มีความหนาแน่น ขนาบด้วยแม่น้ำน่านและทางรถไฟ โดยเกิดเป็นชุดห้องแถวขนานตลอดเส้นถนนที่เชื่อมระหว่างแม่น้ำกับทางรถไฟ เป็นย่านการค้าที่สำคัญระดับตำบล เป็นศูนย์กลางการบริการ และการให้บริการสินค้าหลากหลายชนิด อาทิ ตลาดสด ร้านค้าปลีก
143,ทุ่งยั้ง,ทุ่งยั้ง,ลับแล,อุตรดิตถ์,เหนือ,612057.179,1946415.496,"ทุ่งยั้ง เป็นชุมชนความทรงจำ และชุมชนโดยรอบโบราณสถาน เมืองทุ่งยั้งเป็นเมืองเก่าสมัยสุโขทัยและมีเมืองซ้อนกันอีกเมืองหนึ่ง ซึ่งเรียกว่า ""เวียงเจ้าเงาะ"" โดยเมืองทุ่งยั้งเดิมเป็นเมืองขึ้นของเมืองพิชัย แต่ต่อมา แม่น้ำน่านเกิดเปลี่ยนเส้นทางน้ำ ทำให้เมืองทุ่งยั้งเกิดความแห้งแล้งชาวบ้านจึงอพยพออกจากพื้นที่ไปอาศัยในแถบ บางโพ-ท่าอิฐแทน ทำเมืองทุ่งยั้งกลายเป็นเมืองร้าง และพังทลายลงในที่สุด คงเหลือไว้แต่พระธาตุทุ่งยั้งเพียงอย่างเดียวที่ยังหลงเหลืออยู่ว่าเป็นเมืองโบราณ เป็นชุมชนที่ตั้งอยู่โดยรอบโบราณสถาน ขนานไปตามแม่น้ำน่านในแนวตะวันออก-ตะวันตก สภาพพื้นที่เป็นที่ราบลุ่มแม่น้ำ ชุมชนที่ตั้งบ้านเรือนโดยรอบพระบรมธาตุทุ่งยั้ง ส่วนใหญ่เป็นบ้านไม้สองชั้น เป็นชุมชนที่มีฐานเศรษฐกิจด้านการเกษตรโดยรอบโบราณสถานที่สำคัญ"
144,ด่านนาขาม,บ้านด่านนาขาม,เมืองอุตรดิตถ์,อุตรดิตถ์,เหนือ,619278.3956,1958786.869,"ด่านนาขาม เป็นชุมชนเกษตรกรรม ตำบลบ้านด่านนาขาม มีประวัติความเป็นมาที่ยาวนานตำบลหนึ่ง ซึ่งเดิมพื้นที่แห่งนี้เคยเป็นที่อาศัยของพวกขอม พม่า สมัยกรุงศรีอยุธยาตอนปลาย ไทยได้เสียกรุงศรีอยุธยาแก่พม่า ครั้งที่ 2 ในปี พ.ศ. 2310 ตรงกับปีขาล และสมเด็จพระเจ้าตากสินทรงกอบกู้เอกราชได้สำเร็จ และทรงตั้งกรุงธนบุรีเป็นราชธานี หลังจากนั้นได้ส่งคนกลุ่มหนึ่งมาเฝ้ารักษาด่าน ต่อมามีผู้มาตั้งบ้านเรือนอาศัยอยู่เป็นจำนวนมาก และได้ตั้งชื่อว่า ""บ้านด่านนาขาม"" ตามลักษณะภูมิประเทศที่มีต้นมะขามขนาดใหญ่ขึ้นอยู่บนจอมปลวกบริเวณหน้าวัดซึ่งเป็นที่นา มีสภาพภูมิประเทศทั่วไปแบ่งเป็น 2 ลักษณะ คือ พื้นที่ราบสูงสลับกับภูเขาในตอนเหนือของตำบล และพื้นที่ราบในตอนใต้ของตำบล หมู่บ้านตั้งอยู่ในบริเวณพื้นที่ราบ มีการทำเกษตรกรรมบริเวณรอบชุมชน พื้นที่ราบสูงในตอนบนมีสภาพเป็นป่าตามธรรมชาติ มีบ้านไม้เก่าทรงจั่ว มีความสูงสองชั้นสลับสวนบ้าน ความหนาแน่นต่ำ ปัจจุบันเป็นหมู่บ้านที่ทำสวนแบบดั้งเดิม อยู่บนเขารอยต่อระหว่าง 2 จังหวัด ผลผลิตขึ้นชื่อ ได้แก่ ลองกอง ทุเรียนหลงลับแล หลินลับแล ปัจจุบันชาวบ้านจะทำสวนผลไม้บนภูเขา และใช้มอเตอร์ไซค์ขึ้นไปขนผลไม้ลงมาขาย"
145,เมืองลับแล,ศรีพนมมาศ,ลับแล,อุตรดิตถ์,เหนือ,610365.9337,1952533.045,"เมืองลับแล เป็นชุมชนเกษตรกรรม ชุมชนตลาด และชุมชนความทรงจำ บรรยากาศทั่วไปเยือกเย็นยามพลบค่ำ ดวงอาทิตย์ ไม่ทันตกดิน ก็มืดแล้ว เพราะมีดอยม่อนฤๅษีสูงใหญ่เป็นฉากกั้นแสงอาทิตย์ ป่าบริเวณนี้เรียกว่า ""ป่าลับแลง"" ต่อมาจึงเพี้ยนเป็นคำว่า ""ลับแล"" บริเวณที่เป็นที่มาของชื่อ ""ลับแล"" คือ ห้าตำบลด้านเหนืออำเภอลับแล ตำบลชัยจุมพล ตำบลศรีพนมมาศ ตำบลฝายหลวง ตำบลแม่พูล ตำบลนานกกก ชาวลับแลมีอาชีพทำสวนทุเรียน สวนลางสาดบนภูเขา ผู้ชายใช้ชีวิตส่วนใหญ่ ดูแลสวน ทิ้งลูกหลานอยู่ที่บ้าน ใครผ่านไป ก็เจอแต่ผู้หญิง นี่ก็คือที่มาของฉายา ""เมืองแม่ม่าย"" เป็นชุมชนที่อยู่ในชายป่าเดิม ห่างไกลกับแหล่งน้ำผิวดิน เป็นที่ราบเชิงเชา บ้านเรือนกระจายแทรกตัวอยู่กับพื้นที่ เป็นอาคารบ้านเดี่ยว กระจายตัวสลับพื้นที่ว่างและสวน เป็นชุมชนที่อยู่อาศัยมีลักษณะเป็นบ้านไม้สองชั้น มีการใช้พื้นที่โดยรอบที่พักอาศัยเป็นส่วนหนึ่งของการแปรรูปสินค้าเกษตรพื้นบ้าน ในชุมชนมีการใช้พื้นที่พักอาศัยประกอบอาชีพและอุตสาหกรรมเกษตรในครัวเรือน อาทิ การปลูกหอมแดง"
146,ตลาดสถานีรถไฟเมืองพิชัย/ชุมชนหลักเมือง,ในเมือง,พิชัย,อุตรดิตถ์,เหนือ,615413.5206,1911886.469,ตลาดสถานีรถไฟเมืองพิชัย/ชุมชนหลักเมือง เป็นชุมชนตลาด ชุมชนความทรงจำ และชุมชนโดยรอบทางรถไฟ โดยมีตำนานของพระยาพิชัยดาบหัก ชุมชนตลาดเมืองพิชัยเป็นชุมชนที่ทอดตัวอยู่ด้านทิศตะวันออกของริมน้ำน่าน คู่ขนานกับทางรถไฟในด้านทิศตะวันตก เป็นพื้นที่ราบลุ่มน้ำท่วมถึง อาคารเกือบทั้งหมดเป็นอาคารเรือนแถวไม้ 2 ชั้น เป็นย่านพาณิชยกรรมดั้งเดิม ที่เจริญมาจากการค้าขายและขนส่งสินค้าทางน้ำและเส้นทางการเดินรถไฟ เป็นศูนย์กลางเชื่อมโยงการแลกเปลี่ยนซื้อขายสินค้าเกษตร ระหว่างพื้นที่เพาะปลูกกับอำเภออื่น ๆ ภายหลังเมื่อมีการตัดถนน การค้าขายในชุมชนก็ซบเซาลง
147,เรือนแพริมน้ำสะแกกรัง,สะแกกรัง,เมืองอุทัยธานี,อุทัยธานี,กลาง,610804.3833,1701066.739,เรือนแพริมน้ำสะแกกรัง เป็นชุมชนเกษตรกรรม และชุมชนริมน้ำ โดยตั้งอยู่ในลำน้ำของแม่น้ำสะแกกรังช่วงอำเภอเมืองอุทัยธานี ชุมชนเป็นบ้านเรือนที่อยู่อาศัยอยู่ในแม่น้ำ มีลักษณะเป็นบ้านเรือนแพ ประกอบด้วยเรือนหลัก และเรือนเล็ก ซึ่งเป็นที่ประกอบอาหารและห้องน้ำปัจจุบันหลงเหลือน้อย เดิมเป็นชุมชนที่ค้าขายในลำน้ำ เป็นศูนย์กลางการค้าระหว่าง อำเภอต่างๆ ของจังหวัดอุทัยธานี สินค้าที่นำมาขายมีข้าว สัตว์ป่า และของป่า ปัจจุบันเป็นย่านการค้าและตลาดสด
148,ตลาดบ้านเก่าสะแกกรัง (ตรอกโรงยา),อุทัยใหม่,เมืองอุทัยธานี,อุทัยธานี,กลาง,610348.9995,1700803.076,ตลาดบ้านเก่าสะแกกรัง (ตรอกโรงยา) เป็นชุมชนตลาด และชุมชนริมน้ำ ประกอบด้วยกลุ่มอาคารพาณิชยกรรมที่เป็นเรือนแถวไม้ขนาดยาว และกลุ่มอาคารพาณิชยกรรม 2-3 ชั้น บริเวณทางตะวันตกของแม่น้ำสะแกกรัง ถนนคนเดินตรอกโรงยาเป็นถนนคนเดินเล็ก ๆ ที่มีระยะทางเพียง 150 เมตรเท่านั้น สองข้างทางเรียงรายด้วยบ้านไม้โบราณที่ยังคงสภาพเดิมไว้ไม่เปลี่ยนแปลง ถนนหนทางถูกจับจองเป็นพื้นที่ตั้งของร้านรวงต่าง ๆ ตั้งแต่ร้านแบกับดิน แผงลอย ไปจนถึงร้านค้าขนาดใหญ่ที่ยึดเอาบริเวณชั้นล่างของบ้านเปิดเป็นร้านขายของ เป็นย่านการค้าที่สำคัญที่สุดของเมืองอุทัยธานี ที่รวมสินค้าหลากหลายประเภท ได้แก่ ร้านค้าปลีก ร้านขายทอง ตลาดสด เป็นต้น ส่วนใหญ่เป็นชาวไทยเชื้อสายจีน
149,บ้านเก่า,บ้านเก่า,หนองฉาง,อุทัยธานี,กลาง,593808.4194,1705580.258,บ้านเก่า เป็นชุมชนเกษตรกรรม และชุมชนชาติพันธุ์ของชุมชนมอญ และเป็นศูนย์กลางของการจัดประเพณีของคนมอญ องค์ประกอบทางภูมิทัศน์ทางวัฒนธรรมของสังคมเกษตรกรรม ได้แก่พื้นที่ปลูกข้าว และองค์ประกอบของวัฒนธรรมมอญ ได้แก่ วัดใหญ่ โดยมีกิจกรรมทางวัฒนธรรมที่เชื่อมโยงระหว่าง พื้นที่เกษตรกรรม พื้นที่ความเชื่อ ชุมชนมอญบ้านเก่า ตั้งอยู่ที่ตำบลบ้านเก่า อำเภอหนองฉาง จังหวัดอุทัยธานี ชุมชนแห่งนี้เป็นชุมชนมอญขนาดเล็ก ชาวบ้านส่วนใหญ่มีอาชีพทำไร่ ทำนา อยู่ใกล้แม่น้ำสะแกกรัง และเขาสะแกกรัง ซึ่งมีประวัติศาสตร์เกี่ยวข้องกับชาวมอญ และพระราชวงศ์จักรี ซึ่งนักประวัติศาสตร์ยกให้เมืองอุทัยธานี เป็นเมืองของสมเด็จพระปฐมบรมมหาชนก และยังมีตำนานที่กล่าวถึงเมืองอุทัยธานี ในสมัยกรุงสุโขทัย รวมทั้งชุมชนมอญโบราณด้วย
150,ชุมชนไทขาวหรือลาวพุทธ,ทัพคล้าย,บ้านไร่,อุทัยธานี,กลาง,562902.3577,1664246.113,"ชุมชนไทขาวหรือลาวพุทธ เป็นชุมชนเกษตรกรรม และชุมชนชาติพันธุ์ของชาวไทขาว (ลาวพุทธ) ซึ่งเป็นกลุ่มชาติพันธุ์ที่มีวัฒนธรรมเป็นเอกลักษณ์ที่สืบเชื้อสายมาจาก ""ลาว"" แห่งอาณาจักรศรีสัตนาคนหุต และได้อพยพมามายังประเทศไทยเมื่อครั้งเวียงจันทน์ถูกตีแตก ชาวทัพคล้ายจะเรียกตัวเองว่า ""ลาวเวียง"" ลักษณะภูมิประเทศ ตั้งอยู่บริเวณสองฝั่งของลำห้วยกระเสียว โดยทางฝั่งตะวันตก ของลำห้วยกระเสียวมีบ้านเรือนตั้งอยู่หนาแน่นกว่าจึงเรียกว่าบ้านใหญ่ ส่วนบริเวณตะวันออกนั้นพื้นที่ส่วนใหญ่เป็นป่าและที่ราบทำนา การตั้งบ้านเรือนจะอยู่รวมกันเป็นกลุ่มใหญ่ๆ ตามเครือญาติ  เป็นรูปแบบสมัยใหม่ร่วมกับสมัยเก่า โดยส่วนใหญ่เป็นอาคารไม้เก่า ๒ ชั้น ปลูกกระจายอยู่ตลอดสองข้างถนนในชุมชน ส่วนใหญ่มีอาชีพ ทำนา ทำไร่ และทำสวน มีภูมิปัญญา เช่น การจักสาน ทอผ้า หมอพื้นบ้าน"
151,บ้านเจ้าวัดยางแดง,เจ้าวัด,บ้านไร่,อุทัยธานี,กลาง,554950.1771,1677714.33,บ้านเจ้าวัดยางแดง เป็นชุมชนเกษตรกรรม และชุมชนชาติพันธุ์ของชาวกะเหรี่ยง (นับถือลัทธิฤาษี) เกิดจากกลุ่มบ้านเจ้าวัดที่เข้าไปอพยพใหม่ มีต้นไม้ชนิดหนึ่งขึ้นอยู่ในบริเวณที่ตั้งบ้านเรือนอยู่เป็นจำนวนมาก คือ ต้นยางแดง ชาวบ้านเจ้าวัดนำต้นไม้ยางแดงเจาะเอาน้ำมันยางแดงทำเป็นน้ำมันขี้ไต้ โดยผสมกับไม้เก่า ๆ ที่นำมาจุดเป็นขี้ไต้ ต่อมาบ้านยางแดงมีผู้นำชื่อ นายตองโพ่ เจะเละ นุ่งขาวห่มขาว และอบรมสั่งสอนจนชาวบ้านยางแดงนับถือและตั้งให้เป็นผู้นำกลุ่มบ้าน ลักษณะภูมิประเทศ เป็นภูเขาสูงสลับซับซ้อน เป็นแนวยาวในเขตอุทยานแห่งชาติ ส่วนใหญ่เป็นบ้านไม้ยกใต้ถุนสูง สลับกับบ้านเรือนไม้ไผ่ยกสูงตามรูปแบบของบ้านชาวกะเหรี่ยง มีอาชีพทำการเกษตรสินค้าหัตถกรรม ผ้าทอพื้นเมืองสีธรรมชาติ เครื่องจักสานไม้ไผ่
152,บ้านโคกหม้อ,โคกหม้อ,ทัพทัน,อุทัยธานี,กลาง,596753.7651,1717758.199,"บ้านโคกหม้อ เป็นชุมชนเกษตรกรรม และชุมชนชาติพันธุ์ของชาวลาวครั่ง ชาวบ้านโคกหม้อเป็นชาวลาวอพยพมาจากเวียงจันทน์ตั้งแต่สมัยต้นกรุงรัตนโกสินทร์ และได้มีการค้นพบเศษหม้อดินเผาในบริเวณนี้เป็นจำนวนมาก จึงได้ตั้งชื่อตำบลนี้ว่า ""ตำบลโคกหม้อ"" มาจนถึงปัจจุบัน โดยสันนิษฐานว่าเป็นชื่อที่ชาวมอญตั้งไว้มีประเพณีและวัฒนธรรมที่เก่าแก่มานาน คาดว่าก่อตั้งหมู่บ้านประมาณ 156 ปี มีแม่น้ำแควตากแดด ซึ่งเป็นต้นน้ำของแม่น้ำสะแกกรังไหลผ่าน มีบ้านเรือนรูปแบบสถาปัตยกรรมทรงไทยทรงปั้นหยาอยู่บ้าง แต่ส่วนมากเป็นบ้านเรือนสมัยใหม่ และมีเตาเผาโบราณอยู่ท้ายหมู่บ้าน ส่วนใหญ่มีอาชีพทอผ้าไหม และหม้อดินเผา"
153,เกาะกลาง,คลองประสงค์,เมืองกระบี่,กระบี่,ใต้,492480.5669,890186.9105,เกาะกลาง เป็นชุมชนเกษตรกรรม และชุมชนริมน้ำ สันนิษฐานว่า เข้ามาตั้งถิ่นฐานในบริเวณนี้มานานเกือบ 100 ปี แต่เดิมประกอบอาชีพประมง ออกทะเลหาสัตว์น้ำในบริเวณใกล้ ๆ และทำสวนบริเวณผืนดินด้านใน เป็นหมู่บ้านริมน้ำตั้งอยู่ริมคลองประสงค์ ซึ่งเป็นคลองแยกจากบริเวณปากแม่น้ำกระบี่ พื้นที่ตั้งของหมู่บ้านประกอบด้วยบ้านเรือนแบบเรือนชนบท เป็นเรือนชั้นเดียว ยกใต้ถุนสูง มีชานใช้ทำกิจกรรมในเวลากลางวัน และมีท่าเรือทุกหลัง ชาวบ้านในชุมชนส่วนมากเป็นชาวมุสลิม ประกอบอาชีพเกษตรกรรมที่หลากหลาย โดยยังใช้วิธีทำการเกษตรแบบพึ่งพาธรรมชาติเป็นหลัก ได้แก่ ประมงเรือเล็ก การวางอวนโป๊ะน้ำตื้น และการเลี้ยงปลาในกระชัง นอกจากนี้ยังมีการทำนาข้าวสังข์หยด ในบริเวณพื้นที่ดอนห่างจากริมน้ำเข้าไป  ผลิตภัณฑ์ชุมชนที่ได้จากธรรมชาติ เช่น การสักหอย การทำเรือหัวโทง การทำผ้าปาเต๊ะ ชาวบ้านในชุมชนส่วนมากเป็นชาวมุสลิม  ซึ่งมีเอกลักษณ์ที่โดดเด่น คือ วิถีชีวิตและวัฒนธรรมของชุมชนมุสลิมที่รักสันติ สงบ และเรียบง่าย มิตรภาพและน้ำใจไมตรีของผู้คน
154,แหลมตง เกาะพีพี,อ่าวนาง,เมืองกระบี่,กระบี่,ใต้,473857.5264,859645.7746,แหลมตง เป็นชุมชนริมน้ำ และชุมชนชาติพันธุ์ของชาวเล ที่อพยพมาจากหลายเผ่า เช่น ชาวเลสิงห์ อูรักลาโว๊ย และมอร์เกน โดยเมื่อมาอยู่รวมกันก็ได้มีการแต่งงานข้ามเผ่า และรวมกันเป็นหมู่บ้านแหลมตงแห่งนี้จนถึงปัจจุบัน จากคำบอกเล่าทราบว่าชุมชนชาวเลแห่งนี้เข้ามาตั้งถิ่นฐานอยู่บนเกาะพีพี ตั้งแต่สมัยที่ยังไม่มีผู้คนนิยมเข้ามาท่องเที่ยว แต่เดิมเป็นหมู่บ้านชาวประมงเล็ก ๆ อยู่ริมทะเล โดยตั้งอยู่บริเวณแหลมด้านทิศเหนือของเกาะพีพี ไม่ปรากฏลักษณะบ้านแบบเรือนพักชาวเลดั้งเดิม ปัจจุบันพบแต่เพียงเรือนพัก ยกใต้ถุนไม่สูงมาก มุงหลังคาสังกะสี และตีฝาไม้อัด หรือวัสดุทั่วไปที่พอหาได้ ชาวเลส่วนมาก มีความเชื่อในเทพเจ้าประจำศาล โดยยึดถือเป็นที่พึ่งทางใจ  ยกย่องนับถือโต๊ะเป็นผู้นำประจำชุมชน และเป็นที่ปรึกษาด้านพิธีกรรม ส่วนมากจะมีการสร้างศาลประจำหมู่บ้าน เป็นที่ประกอบพิธีกรรม และแก้บนต่าง ๆ เมื่อเริ่มมีกลุ่มนายทุนอพยพมาจากสตูล และพวกมุสลิมอพยพมาจาก เกาะยาว เข้ามาตั้งบ้านเรือนและทำกิจการบนเกาะพีพี ทำให้ชาวเลต้องตกอยู่ภายใต้ระบบทุน ประกอบกับการไม่ได้รับรองสัญชาติ ยิ่งทำให้ถูกกดขี่ และเอารัดเอาเปรียบจากสังคมมาจนถึงทุกวันนี้
